127.0.0.1 - - [12/Oct/2023:03:12:13 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:12:14 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:12:50 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:12:54 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:13:09 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:13:15 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:13:16 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:13:16 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:13:39 -0700] "GET /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3788
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:13:45 -0700] "GET /ResturantManagement/AddCustomer.jsf HTTP/1.1" 200 3788
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:13:56 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:14:01 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:14:01 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:14:01 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:14:01 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:14:01 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:14:01 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:14:02 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:15:54 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:16:42 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3130
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:16:54 -0700] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:16:55 -0700] "GET /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 4011
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:16:55 -0700] "GET /ResturantManagement/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 200 44353
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:16:58 -0700] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:01 -0700] "GET /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 4011
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:03 -0700] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:03 -0700] "GET /ResturantManagement/CustomerWalletShow.jsf HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:10 -0700] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:13 -0700] "POST /ResturantManagement/ShowRestaurant.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:14 -0700] "GET /ResturantManagement/ShowMenu.jsf HTTP/1.1" 200 5962
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:17 -0700] "POST /ResturantManagement/ShowMenu.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:17 -0700] "GET /ResturantManagement/ShowMenu.jsf HTTP/1.1" 200 5962
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:20 -0700] "POST /ResturantManagement/ShowMenu.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:20 -0700] "GET /ResturantManagement/ShowMenu.jsf HTTP/1.1" 200 5962
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:27 -0700] "GET /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 4011
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:30 -0700] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:37 -0700] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 5225
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:17:43 -0700] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 5231
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:29:46 -0700] "GET /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 200 3130
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:29:53 -0700] "POST /ResturantManagement/CustomerLogin.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:29:53 -0700] "GET /ResturantManagement/Dashboard.jsf HTTP/1.1" 500 4403
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:30:12 -0700] "GET /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 4011
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:30:14 -0700] "POST /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 5150
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:30:23 -0700] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:30:30 -0700] "POST /ResturantManagement/PlaceOrder.jsf HTTP/1.1" 200 3576
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:30:36 -0700] "POST /ResturantManagement/PlaceOrderMenuShow.jsf HTTP/1.1" 200 3607
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:30:52 -0700] "POST /ResturantManagement/PlaceOrderMenuShow.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:03:30:52 -0700] "GET /ResturantManagement/Dashboard.jsf HTTP/1.1" 200 4011
